station=911820 
Lat = 21.35 N 
Lon = 157.93 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
9.1182e+05,425,1934,24.5,23.4,23.25,22.75,25.65,27.35,28.1,28.55,27.95,27.15,26,25.25
9.1182e+05,425,1935,23.2,23.2,23.25,23.85,26.05,27.35,27.9,27.95,27.45,26.85,25.45,25.15
9.1182e+05,425,1936,24.5,23.3,23.45,23.95,24.75,26.95,27.7,27.95,27.65,26.75,25.25,23.85
9.1182e+05,425,1937,23.1,22.5,22.75,24.55,25.35,26.95,27.5,27.45,27.25,26.85,25.6,24.65
9.1182e+05,425,1938,24.1,24.2,24.05,24.75,25.35,26.95,27.8,27.95,27.75,26.85,25.45,24.75
9.1182e+05,425,1939,24,24,23.75,23.75,25.25,26.25,27.2,27.55,26.85,26.35,24.7,24.25
9.1182e+05,425,1940,22.85,23.45,23.45,25.05,25.85,27.35,27.95,28.2,27.45,27.05,25.9,24.3
9.1182e+05,425,1941,23.95,22.55,22.85,24.65,25.05,26.85,27.6,28,28.05,26.55,25.4,23.8
9.1182e+05,425,1942,23.15,23.05,21.85,23.4,25.85,26.75,27.5,27.8,27.45,26.75,26.1,25.3
9.1182e+05,425,1943,23.85,23.15,22.75,24.75,25.65,27.15,27.6,27.5,27.45,26.75,25.5,24.5
9.1182e+05,425,1944,23.95,22.75,23.15,24.75,25.35,26.25,27.1,27,26.95,26.3,25.3,23.8
9.1182e+05,425,1945,23.55,23.85,23.95,24.25,26.05,27.25,27.6,27.7,26.95,26.75,25.7,24.2
9.1182e+05,425,1946,23.85,23.75,23.75,23.75,25.25,26.75,27.25,27.7,27.35,26.25,24.8,23.4
9.1182e+05,425,1947,22.25,22.85,23.25,24.35,24.85,26.75,27.25,27.6,27.25,26.85,25.5,23.9
9.1182e+05,425,1948,22.6,22.25,23.2,23.8,25.35,26.6,27.05,27.65,27.25,26.1,24.8,23.45
9.1182e+05,425,1949,22.25,22.7,22.8,23.6,24.75,25.8,26.6,26.7,26.65,25.533,23.767,23.5
9.1182e+05,425,1950,22.733,23.95,23.233,23.7,25,26,26.55,27.1,26.85,26.267,24.9,22.7
9.1182e+05,425,1951,23.2,22.5,22.7,23.733,25.3,26.3,27.4,27.4,27.3,26.3,25.133,23.9
9.1182e+05,425,1952,23.067,23.033,22.8,23.45,23.633,25.7,26.55,27.2,26.3,25.5,25,23.633
9.1182e+05,425,1953,22.967,23.2,23.233,24,25.1,26.25,26.7,27.3,26.85,26.2,24.467,23.2
9.1182e+05,425,1954,22.667,23.167,22.233,24,24.65,26.6,26.75,27.4,27.15,26.4,25.467,23.65
9.1182e+05,425,1955,23.033,22,21.9,23.85,24.5,25.2,25.95,25.95,25.9,24.933,24.4,23.6
9.1182e+05,425,1956,23.567,22.533,23.367,23.75,25,25.167,26.333,27.3,26.8,26.35,24.633,24.167
9.1182e+05,425,1957,23.167,21.833,22.267,23.5,24.9,26.55,27.3,27.25,27.25,26.4,25.7,23.867
9.1182e+05,425,1958,22.633,22.6,22.3,23.55,24.7,26.15,26.8,27.2,27.2,26.3,24.5,23.15
9.1182e+05,425,1959,23.067,22.5,24.133,23.9,25.35,26.733,27.267,27.65,27.5,26.567,25.333,23.867
9.1182e+05,425,1960,22.867,22.7,23.133,23.833,25.233,26.9,27.55,27.8,27.35,26.433,25.067,23.767
9.1182e+05,425,1961,23.267,23.833,24.233,24.333,25.567,26.3,27.4,27.55,27.2,26.367,24.8,24.233
9.1182e+05,425,1962,24,22.6,22.967,24.7,25.167,26.4,27.4,27.35,27.4,26.2,25.467,23.8
9.1182e+05,425,1963,22.2,22.8,22.733,24.067,25.1,26.7,27.65,28.15,27.8,27.05,25.267,23.733
9.1182e+05,425,1964,24.067,23.667,23.533,24.067,24.9,26,26.6,27.3,27.2,26.1,24.733,24.2
9.1182e+05,425,1965,22.6,21.25,22.45,24.05,25.2,26.45,26.9,27.3,26.867,26.1,25.1,23.133
9.1182e+05,425,1966,22.733,22.167,23.8,24.1,25.1,26.7,27.4,28.2,28.4,27.6,25.233,24
9.1182e+05,425,1967,22.7,23.367,23.133,23.667,25.533,26.75,27.8,28.25,27.8,27.4,25.75,23.8
9.1182e+05,425,1968,23,23.25,23.6,24.7,25.7,26.767,27.533,28.2,27.8,27.167,26.2,23.5
9.1182e+05,425,1969,20.967,23.1,23.25,23.85,25.05,26.45,27.5,28.85,28.2,27.35,25.7,24.467
9.1182e+05,425,1970,23.433,22.8,24.267,24.833,26.133,27.55,28.2,28.8,26.9,26.25,24.5,23.833
9.1182e+05,425,1971,22.167,23.6,23.2,24.1,24.8,25.7,26.7,27.2,27,25.833,24.533,23.233
9.1182e+05,425,1972,21.733,21.85,22.767,24.05,25.033,26.35,27.2,27.7,27.3,26.333,25.2,22.9
9.1182e+05,425,1973,22.833,22.433,23.867,24.35,25.3,26.45,27.2,27.7,27.6,26.7,25,23.5
9.1182e+05,425,1974,24,23.633,23.45,24.833,25.9,26.55,26.9,27.7,27.1,26.367,24.7,24.75
9.1182e+05,425,1975,22.8,22.733,22.95,23.75,24.5,25.85,26.4,26.5,26.333,26.6,25.5,23.2
9.1182e+05,425,1976,23.467,22.333,22.9,24.05,24.833,25.4,26.9,27.5,27.5,26.6,24.5,24.55
9.1182e+05,425,1977,23.6,24.45,24.75,24.75,25.5,26.65,27.5,28.3,28,27.7,26.3,24.35
9.1182e+05,425,1978,23.8,23.15,24.45,25.05,25.9,26.15,26.7,27.3,27.3,26.2,24.5,23.3
