station=722740 
Lat = 32.12 N 
Lon = 110.93 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
7.2274e+05,425,1900,11,10.35,15.6,14.55,23.25,27.4,30.85,28.7,23.9,19.1,15.8,9.5
7.2274e+05,425,1901,9.95,10.9,13.6,15.8,21.4,25.4,30.3,29.2,25.4,19.6,14.3,9.1
7.2274e+05,425,1902,9.3,10.1,11.55,18.2,21.75,27.85,28.95,28.7,25.55,20.2,11.45,9.25
7.2274e+05,425,1903,8.8,7.7,12.4,17.4,21.8,27.4,30.4,30.4,24.6,18,13.35,9.8
7.2274e+05,425,1904,6.7,12.9,14.85,17.25,20.95,25.95,27.8,26.75,23.55,18.45,12.7,8.55
7.2274e+05,425,1905,9.7,11,12.25,15,18.55,24.25,27.25,28.15,27.2,18.7,13.05,7.65
7.2274e+05,425,1906,9.25,12.85,14.25,16.15,20.35,24.3,28.2,26.2,24.5,18.2,12.5,10.9
7.2274e+05,425,1907,10.05,12.8,13.7,17.15,22.5,23.6,27.95,26.9,25.05,18.8,12.15,9.55
7.2274e+05,425,1908,12.3,10.85,13.55,16.65,19,23.85,27.05,26.3,23.95,16.4,12.4,9.3
7.2274e+05,425,1909,10.9,9.85,10.75,16.3,19.1,26.35,27.9,27,23.9,18.1,12.35,7.35
7.2274e+05,425,1910,9.05,9.65,16.15,17.55,22.75,26.45,28.15,27.55,25.95,19.85,12.2,10.2
7.2274e+05,425,1911,11.2,10.7,15.65,16.95,21.75,25.7,27.05,28,26.2,18,9.85,6.45
7.2274e+05,425,1912,9.3,10.65,13.1,14.6,21.25,27.15,26.95,26.85,23.7,17.9,12,7.35
7.2274e+05,425,1913,6.85,10.15,11.55,17.6,21.75,25.05,27.85,27.7,24.35,18.05,14.25,8.7
7.2274e+05,425,1914,11.4,11.55,17,19.1,23.5,27.2,28,29.05,26.5,19.05,14.75,8.7
7.2274e+05,425,1915,8,10.9,12.25,16.95,19.85,26.35,29.6,29.35,24.3,19.65,12.05,6.4
7.2274e+05,425,1916,10.05,14.05,16.35,18,21.25,27.6,29.9,27.35,24.75,17.8,10.9,7.4
7.2274e+05,425,1917,8.4,9.55,11.45,15.9,18.55,26.9,29.35,27.75,25.45,19.7,14.2,10.5
7.2274e+05,425,1918,7.85,11.95,15.6,17.45,20.2,28.55,28.3,26.45,26.2,20.05,12.35,8.45
7.2274e+05,425,1919,7.4,8.45,12.05,17.7,21.5,26.1,27,27.25,24.1,16.65,12.75,11.05
7.2274e+05,425,1920,10.25,13.4,12.6,14.65,21.55,25.1,28.75,26.25,24.25,16.9,12.3,7.5
7.2274e+05,425,1921,10.05,10.65,15.1,16.05,20.7,25.85,27.7,26.25,25.1,20.1,12.75,11.3
7.2274e+05,425,1922,8.35,11.75,12.1,15.45,24.2,27.95,30,28.9,25.65,19,10.8,10.95
7.2274e+05,425,1923,11.35,11.05,12.35,16.35,22.75,25.25,29.05,26.25,24.05,17.3,13,8.7
7.2274e+05,425,1924,7.5,11.55,11.1,16,23.6,26.8,28.15,27.3,25.6,18.15,13.15,8.25
7.2274e+05,425,1925,7.9,12.85,15.05,18.2,23.35,25.55,29.5,26.95,24.15,19,12.25,9
7.2274e+05,425,1926,7.15,12.25,14.4,17.25,21.6,26.5,28.3,27.55,25.7,21.9,13.55,9.85
7.2274e+05,425,1927,11.75,13.2,13.4,17.55,22.15,25.55,29.15,27.2,25.3,19.55,15.85,8.15
7.2274e+05,425,1928,9.55,11.45,15.15,16.65,22.75,26.1,28.95,26.4,26.15,20.2,13.1,8.85
7.2274e+05,425,1929,8.05,9.65,13,16.6,22.5,26.8,29.8,28.05,25.45,19.45,10.75,10.15
7.2274e+05,425,1930,9.1,12.8,13.55,19.7,20.55,27.2,28.5,26.95,24,18.5,13,8.9
7.2274e+05,425,1931,8.7,11.9,13.75,18.9,22.65,26.25,29.6,27.25,26.6,20.3,12,8.2
7.2274e+05,425,1932,6,11.6,12.65,16.35,21.4,25.75,29.15,28.4,25.95,18.9,14,7.9
7.2274e+05,425,1933,7.75,8.5,14.3,15.75,19.75,27,30.25,28.35,27.15,21.2,13.9,10.3
7.2274e+05,425,1934,9.05,13.65,15.2,20.2,25.55,25.8,29.75,27.3,25.25,20.3,13.1,10.85
7.2274e+05,425,1935,10.6,12.4,12.8,17.85,19.55,26.45,29,27.3,24.95,19.6,11.7,10
7.2274e+05,425,1936,8.75,10.9,14.55,19,23.7,28.45,30.05,28.45,24.85,19.05,13.6,9.4
7.2274e+05,425,1937,4.95,11,13.05,17.85,23.4,26.4,28.75,28.65,27.8,20.35,13.7,11.05
7.2274e+05,425,1938,10.35,12,13.5,18,21.65,27,28.35,27.8,26.4,20.25,10.55,10.7
7.2274e+05,425,1939,9.3,7.15,14.5,19.15,23.05,27.35,29.6,28.3,25.8,18.55,14.65,12.2
7.2274e+05,425,1940,10.2,11.35,14.9,18,23.7,27.35,29.6,27.75,25.75,19.65,11.95,12.25
