station=684380 
Lat = 28.8 S 
Lon = 24.77 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
6.8438e+05,141,1897,20.2,21.9,18.3,17.5,11.8,7,8.1,11.5,14.1,18.6,19.3,23
6.8438e+05,141,1898,20.4,18.9,18.7,14.2,9.8,7.2,6.9,10.7,13.9,16.3,20.9,23
6.8438e+05,141,1899,22.5,23.2,18.6,13.8,8.5,7.6,7.8,11.6,16.6,17.6,19.3,22.5
6.8438e+05,141,1900,22.2,22.8,19.1,15.7,12.5,8.4,8,9.8,16.9,17.7,20.7,20.7
6.8438e+05,141,1901,22.8,21.6,17.6,15.7,9.5,8.2,7,11.7,13.5,16.4,19.9,22.4
6.8438e+05,141,1902,21.2,21,17.6,13.5,11.8,6.4,8.4,10.6,12.4,17.5,18.7,23
6.8438e+05,141,1903,23.3,21.7,18.6,13.3,10,6.3,8,10.9,14.9,16.9,19.5,22.8
6.8438e+05,141,1904,21.2,19.9,17.9,14.9,10.2,7.7,8.3,10.2,14.2,17.4,20.8,20.6
6.8438e+05,141,1905,22.7,20.8,18.1,16,10.8,6.6,9.1,9.7,14.4,18.7,20.7,23
6.8438e+05,141,1906,23.3,20.5,17.8,13.8,11,8.1,7.5,8.7,15.2,16.3,19.6,21
6.8438e+05,141,1907,21.6,20.2,18.6,13.5,9,8,7.9,11,14.8,16.6,18.9,20.7
6.8438e+05,141,1908,21.9,22.2,18.5,11.8,11.2,7.4,8.2,11,15.6,17.2,19.9,22.9
6.8438e+05,141,1909,22.2,19.6,17.1,14.9,10.4,9.1,8.3,10.9,15.2,17,21,21.5
6.8438e+05,141,1910,22.5,20.4,19.3,15.4,10.9,6.9,7.9,10.5,14.7,16.4,18.2,22.4
6.8438e+05,141,1911,22.9,22.2,17.8,14.2,9.4,6.6,7.4,9.9,14.5,18.9,20.5,24.9
6.8438e+05,141,1912,24.5,21.3,18.9,14.4,11.3,6.8,8.4,11.1,12.5,18.9,22,23
6.8438e+05,141,1913,23.7,21,18.9,15,10.4,8.3,7.6,12.4,13.9,17.1,20.4,23.6
6.8438e+05,141,1914,25.1,22.3,19.5,14.9,12.2,7.2,7.4,10.2,16.7,19.4,18.8,22.2
6.8438e+05,141,1915,24.5,22.2,19.9,14,10.6,8,6,11.7,14.9,17.7,20.2,22.7
6.8438e+05,141,1916,23.1,23.4,18.6,15.2,8.7,7.3,8.9,9.1,14.8,18.9,20.7,22.7
6.8438e+05,141,1917,23.2,21.4,18.1,13.7,9.3,6.8,6.4,8.7,14.1,18.1,19.1,21.9
6.8438e+05,141,1918,21.4,22.3,18.1,15.2,9.5,8,8.2,10.2,15,17.8,19.9,22.7
6.8438e+05,141,1919,23.8,22.6,19.1,16.5,10.8,9.6,9,11.3,13.7,19.4,19.5,23.7
6.8438e+05,141,1920,24.1,19.9,16.8,15.4,10.7,6.4,9.5,11.7,14.3,17.8,22.1,23.4
6.8438e+05,141,1921,23.2,20.4,18.5,14.5,10.2,7.2,5.9,10,14.6,18.6,18.4,20.8
6.8438e+05,141,1922,23.7,21.9,19.9,17.3,10,7.5,9,11.1,16.8,18.6,20.2,23.2
6.8438e+05,141,1923,22.8,21.2,20,13.8,10.2,8,8,11.8,16.3,21.3,21.6,23.2
6.8438e+05,141,1924,23.8,20.5,18.5,14.8,10.5,7,6.9,10.2,14.8,18.1,19.1,20.4
6.8438e+05,141,1925,22.2,21.8,17.6,14.9,9.5,5.8,7.7,12,14,17.7,20.6,24
6.8438e+05,141,1926,26.2,24.1,19.2,15.9,10.9,8.5,6.1,11,14.3,18,19,22.4
6.8438e+05,141,1927,24.9,22.5,19.1,15.6,11.1,8.7,9.4,11,17.6,NaN,21.9,22.8
6.8438e+05,141,1928,22.4,20.9,18.9,15.6,11.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.8438e+05,141,1929,24.4,23,17.9,14.7,12.7,9.8,8.1,11.1,14.8,19.1,21.2,22.5
6.8438e+05,141,1930,22.3,20.9,18.9,14.8,11.9,8.8,9.7,10.3,13.4,18.9,21.7,23.8
6.8438e+05,141,1931,23.1,22.1,20.1,14.2,14,9.2,7.9,12,15.1,18.3,20.8,23.5
6.8438e+05,141,1932,23,21.9,20,18.9,13.7,9.4,9.1,12.8,15.3,19.5,21.7,23.3
6.8438e+05,141,1933,24.4,23.8,21.6,17.1,13.8,8.5,9.6,12.5,16.7,20.1,20.4,22.3
6.8438e+05,141,1934,21.7,20.4,19.1,16.7,14,11.2,9.4,13.9,16.2,18.3,20.2,21.8
6.8438e+05,141,1935,24.2,21.6,17.5,14.3,10.4,8.6,9.4,9.7,13.9,20.7,19.6,22.5
6.8438e+05,141,1936,22.1,21.1,18.6,16.4,10.6,10.5,10.4,12.8,14.6,17.6,19.7,22.6
6.8438e+05,141,1937,23,21.7,19.7,15.2,12.7,8.9,8.1,13.7,14.9,20.2,23.1,22.7
6.8438e+05,141,1938,23.4,21.1,20.7,16.7,12.9,10.5,10,11.3,15.2,19.4,19.5,22.9
6.8438e+05,141,1939,23.6,21,18.9,15.2,11.7,10.3,9.1,11.2,14.4,18.6,19.7,23.6
6.8438e+05,141,1940,23.5,23.3,19.3,14.8,12.1,9.9,10.1,14.3,15.3,19,20.3,24.5
6.8438e+05,141,1941,23.3,20.8,20.4,17,13.5,9,10.2,13.3,14.1,19.4,20.7,24.2
6.8438e+05,141,1942,25.1,23.9,19.5,15.4,11.5,9.1,9.9,12.5,16.1,16.6,20.6,21.2
6.8438e+05,141,1943,22.7,21.1,20,15.3,11.2,8.5,8,8.8,14.2,18.3,19.4,20.9
6.8438e+05,141,1944,23.7,21.2,19.5,16,10.4,7.9,9.5,13.9,14.7,20.9,21.9,23.3
6.8438e+05,141,1945,24.25,24.75,19.35,16.6,10.9,7.8,9,12.7,19,18.55,22.55,23.7
6.8438e+05,141,1946,23.1,22.8,19,15.9,13.2,8.5,9.9,11.6,16.6,18,21.8,24.3
6.8438e+05,141,1947,25.25,25.45,21.1,17.65,12.75,9.4,7.7,13.7,14.8,19.75,22.5,22.3
6.8438e+05,141,1948,23.75,21.6,18.75,15.7,13.4,10.45,10.2,13.55,14.65,19.1,21.05,23.05
6.8438e+05,141,1949,26.2,23.35,20.25,17.65,12.05,10.5,9.5,11.6,17.1,19.2,20.3,23
6.8438e+05,141,1950,24.4,24.2,22.35,15.4,11.6,10.15,9.35,11.95,15.2,17.2,19.95,21.1
6.8438e+05,141,1951,20.95,22.5,19.35,16.4,11.5,8.55,7.3,10.95,14.75,18.75,22.25,25.3
