station=725310 
Lat = 39.48 N 
Lon = 88.17 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
7.2531e+05,425,1886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.9
7.2531e+05,425,1887,-6.2,-0.85,1.6,10.2,19.15,23.4,26.55,23.5,18.4,8.9,2.35,-2.35
7.2531e+05,425,1888,-7.95,-3.15,0.5,9.75,14.25,21.1,23.9,21.25,15.6,9.6,4.7,0
7.2531e+05,425,1889,-1.55,-4.15,4.4,10.3,14.5,18.2,22,20.4,16.8,8.8,NaN,5.5
7.2531e+05,425,1890,0.6,1.5,0.3,10.9,14.4,23.3,NaN,19.9,15.8,11.4,5.8,-0.7
7.2531e+05,425,1891,-0.5,NaN,NaN,NaN,14,22,20.8,21.6,20.7,11,2.2,2.3
7.2531e+05,425,1892,-7.9,1.15,2,8.65,15.45,25,23.85,22.1,18.4,12.2,1.6,-3.3
7.2531e+05,425,1893,NaN,NaN,NaN,9.9,14.55,21.95,25.4,22.25,19.55,12.15,3.8,-1.15
7.2531e+05,425,1894,-1.1,-3.65,6.8,11.35,15.55,23.25,23.6,23.15,19.45,12.05,2.4,0.9
7.2531e+05,425,1895,-6.05,-6.95,3.4,12.15,17.633,24,22.35,23.6,21.6,8.5,3.8,-0.13333
7.2531e+05,425,1896,-1.6333,-0.05,1.725,14.7,21.225,22.367,24.5,23.275,18.333,10.35,5.5333,0.86667
7.2531e+05,425,1897,-4.3667,-0.6,4.9667,9.7,14.3,21.6,25.4,22.275,21.575,15.633,5.475,-1.625
7.2531e+05,425,1898,0.375,-0.175,6.275,9.55,16.45,22.875,24.3,23.625,21.075,12.2,3.6333,-2.1667
7.2531e+05,425,1899,-2.85,-7.0667,1.075,11.8,17.625,23.225,24.233,24.475,19.033,15.267,7.2,-1.875
7.2531e+05,425,1900,-0.45,-4.0333,1.35,11.3,18.05,21.625,23.933,25.875,20.425,16.4,5.4,-0.55
7.2531e+05,425,1901,-1.4667,-4.9667,4.525,9.1,15.6,24,27.033,24.033,19.367,13.133,3.1,-3.7667
7.2531e+05,425,1902,-2.775,-7,6.4333,10.1,20.125,20.95,24.4,21.48,17.4,13.9,9.425,-2.5
