station=40300 
Lat = 64.13 N 
Lon = 21.9 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
40300,620,1901,-1,-1,-0.7,-0.8,6.3,8.1,9.1,8.1,8.3,1.4,0.8,-3.7
40300,620,1902,-4.6,-3,-3.2,1.2,4.3,8.4,9.5,8.6,7.4,4.3,2,-0.2
40300,620,1903,-3.9,-2.9,-3.2,-0.9,4.4,7.8,9.9,7.2,7.3,1.5,-0.6,-0.1
40300,620,1904,-2.3,-3.2,-2.2,0.6,5.7,9.2,10.5,10.1,7.2,1.5,-0.9,-1.1
40300,620,1905,-2.5,-3.5,0.9,1.8,6,9.1,9,8.5,5.4,2.4,0.4,-0.6
40300,620,1906,-1,-3.7,-1.9,-0.3,3.1,9.1,9.3,9.7,7.2,3.4,0.7,-3.4
40300,620,1907,-1.7,-4.7,-3.2,2.6,5,7.6,10.1,8,4.6,1.3,-0.9,0.3
40300,620,1908,-1.9,-3,-1.1,1.6,3.9,7.3,10.8,7.6,6.7,5.5,-0.2,-1.3
40300,620,1909,-3.8,-0.3,-2.1,3.1,5.2,9.3,9.7,7.8,6.4,-0.3,0,-4.7
40300,620,1910,-4.3,-4.3,-1,-1.9,4,7.8,10,9.8,5.7,4.4,-2,-0.8
40300,620,1911,-2,-3.6,-0.5,1.3,5.8,9.9,9.6,9.9,5.3,3.1,-0.3,0.3
40300,620,1912,0.2,-3.7,-0.3,2.2,6.6,9.6,10,8.2,7.8,3.1,-1.3,-2.7
40300,620,1913,-1.3,-0.6,-2.8,2.1,6.1,8,9.6,8.6,6.7,3.1,-0.5,-1.9
40300,620,1914,-0.1,-3.6,-3.3,-0.5,2.2,6.8,9.6,10.1,5.5,4,-2,-1.8
40300,620,1915,-1.6,-3.5,-3.6,0.8,5.4,8.6,9.5,10.2,7.8,6.3,1.6,-1.9
40300,620,1916,-1.4,-2.7,-2.7,-0.8,5.1,8.6,10.3,10,7,3.5,1,-4.5
40300,620,1917,-0.9,-0.6,-1,-2.3,4.4,7.7,11.7,10.3,5.3,-1.2,-1.6,-4.2
40300,620,1918,-9,-2.5,0.5,1.4,7.2,7.9,10.5,9.3,3.7,1.8,0.8,-2
40300,620,1919,-2.6,-3,-4.9,-0.6,5.5,8.1,10.2,8,4.7,2.3,-3,-2.5
40300,620,1920,-5.1,-4.3,-2.7,-0.8,3.7,9.3,9.6,8.4,6.2,6,1.6,-0.3
40300,620,1921,-2.5,0.7,-2.9,1,3.4,7.1,8.8,7.3,4.9,1.5,0.4,-0.9
40300,620,1922,-0.8,-0.7,0.2,-0.2,4.2,7,9.1,8.5,4.2,4.1,0.6,0.6
40300,620,1923,-2.7,0.9,3.1,3.3,4,7.8,9.5,8.8,4.4,2.1,-2.5,-2.2
40300,620,1924,-0.3,-0.4,-2.6,-0.1,3.2,7.9,10.4,9.1,4.7,2.7,1.8,0.3
40300,620,1925,-0.6,-3.1,-0.9,0.9,5.6,8.8,9.6,9.5,6.2,3.1,1.9,-2.9
40300,620,1926,0.2,1.2,-0.6,5.2,5.6,9.8,10.7,9.8,5,-0.6,-0.2,-0.2
40300,620,1927,-3,-0.1,1.9,0.7,5.6,9.2,10.8,9.9,6.2,2.7,1,0.5
40300,620,1928,-2,-1.6,1.8,4,7.8,9.1,11.8,10.5,7.8,4.2,1.2,-0.2
40300,620,1929,1.2,1.8,4.7,4,5.6,8.8,11,9.4,5.6,0.7,-0.1,0.3
40300,620,1930,-2.3,0.1,-3.5,3.9,6.8,8.7,10.3,9.7,8.3,2,-2.9,1
40300,620,1931,-1.5,-4.6,-0.3,2.1,6.6,8.3,10.8,10.8,8.7,3.1,1.3,-0.9
40300,620,1932,-1.6,3.9,1.9,-0.3,7.6,9.4,11.5,10.3,5.8,2.5,1,0.9
40300,620,1933,0.3,-3.3,0.8,2.4,7.9,10.2,12,10.3,8.3,2.7,3.2,-3
40300,620,1934,-0.3,0.6,-1.3,2.9,4.2,10,11.4,11,7.9,2.4,0.6,1.6
40300,620,1935,1.2,-4.8,2.1,2,8.5,9,9.9,9.8,8.2,2.1,1.8,-1.4
40300,620,1936,-4.6,-2.3,0.3,3.6,7,9,12.4,10.4,8,4.7,0.7,-3.6
40300,620,1937,-0.6,-3.1,-2.7,3.9,6.1,8.9,10.8,9.3,7.2,2.5,2.2,1
40300,620,1938,-1.2,0.3,0.6,3.6,5.2,8.5,10.5,9.5,8,3.4,0.3,0.7
40300,620,1939,-2.8,-0.2,2.2,3.9,7.9,10.1,12.2,11.2,10.4,5.9,0.1,0.3
40300,620,1940,0.2,0.2,-1.6,1.9,6.8,9,10.4,9,5.7,4.8,-0.1,1
40300,620,1941,-1.6,-3,0.7,4.3,8,10.8,11.5,10.4,10.1,5.6,3.4,1.2
40300,620,1942,0.2,0.4,1.3,2.5,6.9,9,10.6,10.2,6.5,1.1,2.7,0.6
40300,620,1943,-0.9,-2.4,0.1,1.8,4.2,9.2,10.6,8.8,6.7,3,0.6,1.1
40300,620,1944,-3,-0.9,0,3,5.8,9.2,12.2,10.7,6.6,3.1,-1.3,-1
40300,620,1945,-4,-1.4,2.7,3.3,6.8,9.1,11.1,10.9,8.2,5.7,5.1,1.1
40300,620,1946,1.8,-0.8,2.3,3,8.4,8.7,10.4,10.2,7.4,6.9,0.7,2.2
40300,620,1947,2.6,-2.6,-3.3,1.5,8.3,9.9,10.7,10.6,7.1,4.9,-0.4,-0.1
40300,620,1948,0.1,1.4,2.7,1,4.6,9.4,10.4,10.6,5.6,2.4,1.8,0.4
40300,620,1949,-3.15,-0.4,-0.2,-0.1,3.6,9.75,10.6,9.65,8.35,3.8,1.85,-1.85
40300,620,1950,2.2,-1.35,1,2.1,7.1,9.25,12.15,11.75,6.55,3.8,0.05,-1.95
40300,620,1951,-2,-1.45,-3.45,-0.3,6.65,9.5,10.1,10.7,8.85,4.85,0.2,-1.45
40300,620,1952,-3.45,-0.85,0.55,2.8,6,8.05,9.55,9.4,6.6,4.8,1.9,0.65
40300,620,1953,0.05,1.25,1.9,-0.25,6.6,9.95,11.4,10.8,8.85,3.2,1.3,1.7
40300,620,1954,1.45,-0.45,1.15,4.15,7.3,9.9,10.1,10.3,5.25,2.8,2,-1.4
40300,620,1955,-2.65,-3.25,0.95,5.3,5.45,9.6,10,9.35,7.25,3.1,3.6,-2.75
40300,620,1956,-3.75,2.15,3.15,3.3,6.35,8.1,10.2,9.2,8.45,3.9,4.3,1.45
40300,620,1957,0.55,-2.05,-0.1,4.7,6.75,9.6,11.5,10.6,6.25,3.9,2.3,-1.05
40300,620,1958,-2.75,-2.55,-0.05,4.1,4.45,9.9,11.5,9.5,10.55,5.3,4.1,-0.35
40300,620,1959,-4.7,1.3,2.6,1.7,7.05,8.3,10.9,9.5,7.8,6.75,0.45,-0.85
40300,620,1960,0.8,-2.4,2.35,4,8.1,9.5,11.5,10.3,8.1,4.5,2.15,-0.65
40300,620,1961,0.7,-0.3,-0.1,1.7,7.65,8.6,10.1,9.5,8.3,4.65,1.05,-2.1
40300,620,1962,-0.3,-0.7,-2.6,3.4,6.15,8.7,10.3,9.8,6.9,4.05,0.15,-0.05
40300,620,1963,-1.1,1,3.8,3.4,4.55,9.5,9.4,9.1,5.2,4.55,-1.8,1.35
40300,620,1964,2.7,2.6,4.9,3.75,7.35,9,9.6,8.9,5.9,4.4,2.25,-2.45
40300,620,1965,-1.6,2.9,-1.2,2.7,7.35,8.85,10.4,9.5,6.25,6.15,-0.4,-2.3
40300,620,1966,-2.3,-2.4,-1.2,2.6,5.35,9.65,10.4,10.3,7.65,2.45,-0.4,-2.6
40300,620,1967,0.5,0.65,-3.7,1.15,5.05,8.35,9.95,9.5,7.35,1.95,-0.4,-1.7
40300,620,1968,-2.4,-2.25,-2,1.9,4.85,8.75,10.95,9.5,8.65,2.15,3.8,-0.8
40300,620,1969,-2.8,-4.1,-0.5,1.7,6.15,9.45,9.4,10.6,5.05,4.25,-2.2,-0.6
40300,620,1970,-0.4,-3.15,-2.7,1.9,5.95,8.35,8.8,9.4,6.65,2.85,-0.9,1
40300,620,1971,-4.2,-0.5,0.3,2.95,6.15,9.05,10.45,9.4,7.15,3.05,-0.2,-0.4
40300,620,1972,2,1.3,1.1,2.7,7.45,8.55,9.4,8.6,7.15,3.75,-0.6,0.4
40300,620,1973,2,-2.9,0.4,2.15,4.35,7.55,9.6,9.4,7.75,3.75,-2.3,-4.6
40300,620,1974,-0.05,-1.3,2.8,5.65,7.45,8.75,10.6,9.25,4.95,3.85,1.7,-3.15
40300,620,1975,-3.65,1.9,-0.7,1.6,5.35,7.4,9,9.45,4.75,5.75,1.1,-1.35
40300,620,1976,-3.35,-0.7,0.2,2.25,5.45,8.9,10.8,8.65,7.55,4.95,2.1,-2.25
40300,620,1977,-2.7,-0.65,2.3,1.15,6.3,7.8,10.6,10.05,6.7,4.45,-1.25,0.75
40300,620,1978,-2.8,-1.65,0.8,3.5,5.4,7.3,10.5,10.55,7.2,3.85,-0.15,0.65
40300,620,1979,-4.9,-0.75,-4.75,1.4,1.8,7.55,8.6,9.55,4.9,4.15,-0.35,-1.05
40300,620,1980,-0.9,0.55,-0.2,2.85,6.2,8.85,10.3,10.15,7.5,1.15,0.25,-1.95
40300,620,1981,-2.9,-1.95,-1.7,3.2,6.1,8.2,10,9.65,6.8,-0.35,-0.95,-2.85
40300,620,1982,-1.85,1.5,-0.2,2.85,5.25,9.4,10.45,9.15,5.35,4.5,-0.8,-1.85
40300,620,1983,-2.55,0.4,-0.9,-0.45,5.95,7.75,8.25,7.95,6.35,3.6,1.2,-0.45
40300,620,1984,-4,-0.3,1.2,2.9,5.6,9.3,11.2,9.9,7.4,3.5,1.2,0.4
40300,620,1985,0.1,1,-0.4,3.6,6.8,9.3,9.9,10.6,6.7,6.5,0.55,-1.3
40300,620,1986,-0.5,2,0.4,3.6,5.6,8.4,10.5,10,7.4,2.4,0.6,-0.8
40300,620,1987,3.1,1.6,0.4,2.5,6.4,9.9,11.1,10.9,8,2.2,4.2,4.2
40300,620,1988,-3,-1.4,-0.1,0.6,7.5,8.2,11.1,10.7,6.9,4.5,3.5,0.8
40300,620,1989,0,-3,-1,1.5,4.8,8.7,9.6,10,7,5.2,2.2,0.4
40300,620,1990,0.4,-1.6,-1.5,0.4,7.2,9.8,11.6,11.1,6.6,5,3.7,-0.3
40300,620,1991,1.1,2.2,1.8,1.3,6.8,9.4,13,11,7.7,4.7,0.2,NaN
