station=428670 
Lat = 21.1 N 
Lon = 79.05 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
4.2867e+05,207,1875,20.7,22.3,29.1,32.6,34.6,30.4,26.1,26.1,26.3,24.4,20.1,19.7
4.2867e+05,207,1876,20.5,23.1,28.1,32.2,35.2,32.2,26.8,26.7,26,24.5,20.6,18.5
4.2867e+05,207,1877,19.5,21.3,26.7,28.7,32,31.5,27.8,26.8,27.6,25.3,22.2,21.6
4.2867e+05,207,1878,20.8,24.8,27.9,31.6,33.3,34.4,27.6,26.8,27.3,26.6,23.1,18.6
4.2867e+05,207,1879,19.9,23.8,26.8,32.8,33.4,29,26.9,25.6,26.2,24.1,19.2,16.8
4.2867e+05,207,1880,19.2,22.2,28.9,32.4,34.2,30,26.2,27.1,25.4,24.9,20.1,18.3
4.2867e+05,207,1881,19.2,23.5,26,31.6,34.1,27.8,25.6,25.9,26.2,24.5,20.4,18.5
4.2867e+05,207,1882,20.4,22.6,28.7,31.3,33.3,28.4,25.2,26.8,26.6,25.2,20.4,19.2
4.2867e+05,207,1883,19.9,22.9,27.3,32.2,32.2,29,26.1,27.7,25.6,24.4,19.8,16.1
4.2867e+05,207,1884,18.3,21.6,27.8,31.1,34,31.1,25.2,25.5,25.2,23.9,19.7,17.3
4.2867e+05,207,1885,20.9,21.3,27.2,30.2,31.2,28.4,26.6,25.9,27.2,25.9,21.2,17.8
4.2867e+05,207,1886,18.9,22.5,26.8,31.1,33.5,29.6,26.5,27.1,NaN,25.5,22,18.9
4.2867e+05,207,1887,20.3,22.1,28,31.2,34.6,29.1,25,25.2,25.8,24,20.9,18
4.2867e+05,207,1888,18.4,23,27.9,32.5,33.2,30.2,26.2,26.1,26.8,25.4,22,18
4.2867e+05,207,1889,21.6,23.3,28.4,32.1,34.4,30.5,26.5,26.1,27,24.4,20.4,18.6
4.2867e+05,207,1890,19.6,23.9,28.2,31.6,35.3,29,25.3,25.7,26.1,24.5,21.3,20.5
4.2867e+05,207,1891,19.1,21.2,26.2,31.3,33.6,34.8,26.7,25.6,NaN,24,20.8,17.9
4.2867e+05,207,1892,20.7,23.4,27.9,34,34.9,30.5,26.6,25.9,25.4,25,20.2,18.6
