station=873440 
Lat = 31.32 S 
Lon = 64.22 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
8.7344e+05,301,1873,22.8,20,17.2,13.3,11.9,9.4,6.8,10.7,15.2,16,18.5,20.4
8.7344e+05,301,1874,20,20.5,17.3,13.5,8.8,7.2,7.2,11.4,14.1,14.7,18.1,20.7
8.7344e+05,301,1875,22.2,23.2,17.9,15.1,12.6,5.2,9,11.5,14.5,16.3,18.7,20.7
8.7344e+05,301,1876,20.5,21.1,19.7,15,12.8,8.4,10,10.1,15.6,16,16.2,19.4
8.7344e+05,301,1877,23.2,21.1,21.6,15.7,9.8,8.6,9.8,10.6,14,18.7,19.5,20.2
8.7344e+05,301,1878,20.1,20.9,19.6,14.8,10.6,8,8.3,10.7,14.1,16.4,20.1,20.2
8.7344e+05,301,1879,21.2,21.8,18.6,14.5,10.9,8.2,9.3,11.4,13.7,15.8,19.8,21.7
8.7344e+05,301,1880,22.4,21.3,19.2,14.6,11.8,10.5,8.9,13,11.2,15,19.3,21.7
8.7344e+05,301,1881,NaN,21.6,18.5,14.5,11.2,7,6.3,10.2,14.5,16.3,19.1,22
8.7344e+05,301,1882,21.9,21.1,18.2,13.9,11.8,8,7.5,11.3,14.1,18.9,18.9,19.6
8.7344e+05,301,1883,22.1,21.3,20,13.8,11.4,9.2,8.2,10.5,13.1,16,18.7,20.5
8.7344e+05,301,1884,23.4,21.4,19.4,13.8,9.2,6.5,8.3,14.6,13.6,16.2,18.3,20.8
8.7344e+05,301,1885,22.4,19.8,17.6,13.4,9.5,7,6,10.4,14.2,16.4,20.5,20.4
8.7344e+05,301,1886,22.4,21,19,14.4,11.5,7,8.6,10.9,12.7,16,18.6,22.2
8.7344e+05,301,1887,21.8,20.9,19.4,14.5,11,10.9,8.9,14.4,14.1,16.3,18.1,19.9
8.7344e+05,301,1888,24.4,21.9,18.7,16.3,10.5,5.2,11.1,12.4,14.6,16.2,19.1,21.7
8.7344e+05,301,1889,21.4,20,19.2,13.4,11.3,8.5,8,9.5,13.3,16.8,18.4,20.5
8.7344e+05,301,1890,21.3,20.8,17.5,17.5,10.9,7.5,9.8,9.9,12.4,17,22.4,22.4
8.7344e+05,301,1891,21.3,22.1,19.4,14.9,11.3,9.6,7.5,11.3,13.8,16.7,19,19.5
8.7344e+05,301,1892,21.7,22.9,18.2,14.9,10.5,6.9,9,9,13.1,16.4,19.2,21.2
8.7344e+05,301,1893,21.4,19.9,19.6,14.8,11,6.7,9.9,9.4,11.3,14.6,18.4,22.6
8.7344e+05,301,1894,22.5,22.2,17.5,14.6,13,7.7,8.4,10.6,12.9,15.4,20.2,21.6
8.7344e+05,301,1895,20.4,22.2,20.4,16.8,12.4,11.7,10.7,12.7,14.2,16.3,18.6,22.3
8.7344e+05,301,1896,21.9,21.5,19.6,16.4,13.5,8.2,12.2,15.3,16.5,17.9,20.1,21.3
8.7344e+05,301,1897,21.6,22.1,21.6,17,12.6,9.1,6.8,9.5,13.2,18,19.4,22.5
8.7344e+05,301,1898,22.9,23.1,18.1,14.1,12.7,10.8,7.2,9.2,13,14.6,17.7,21.6
8.7344e+05,301,1899,22.5,20.8,19.4,17,15.4,7.1,13,11.9,13.5,16.2,20,24.4
8.7344e+05,301,1900,25.7,24,19.5,16.2,12.5,10.7,11.2,10.4,14.9,16.8,21.1,21.6
8.7344e+05,301,1901,22,20.3,20.5,14.6,14.2,12.4,9.3,11,17,19.8,21,23.9
8.7344e+05,301,1902,22.7,24.5,20.7,18,14.2,11.3,7.9,8,15.1,17.1,20.2,21.6
8.7344e+05,301,1903,22.6,22.8,22.7,15.1,13,9.6,9.3,10.6,16.5,16.6,19,20.2
8.7344e+05,301,1904,21.6,19.2,18.5,17.8,13.1,10.2,11.1,10.9,16.1,17.3,18.4,20.2
8.7344e+05,301,1905,22,20.9,20.1,16,11.9,11,7.6,12,14.9,17,19.3,21.1
8.7344e+05,301,1906,22.7,23.9,21.7,18.4,14.9,6.6,9.4,10.9,13.6,18.7,21,22.1
8.7344e+05,301,1907,24.5,23,19.5,16.2,10.7,8.2,8.7,9.4,12.8,16.9,19.7,22.5
8.7344e+05,301,1908,23,21.1,20.9,15.6,12.3,11,9.7,10.2,13.4,17.6,20,22.3
8.7344e+05,301,1909,25.2,22,20.5,16.9,11.1,8,8.6,12.6,14.8,16.7,18.1,20.4
8.7344e+05,301,1910,23.2,21.2,18.6,16.1,11.7,10.9,8.5,11.5,13.9,18.1,20.7,21.9
8.7344e+05,301,1911,24.5,23.1,19,16,14,8.5,9.3,8.9,11.4,16.4,20,21.8
8.7344e+05,301,1912,24,22.7,21.9,17.2,11.9,10,8,9.3,14.9,18.1,19.4,23.2
8.7344e+05,301,1913,22.7,24.1,20.3,19,14.5,11.4,12.7,11.8,14.6,18.3,21.1,22.6
8.7344e+05,301,1914,25.1,23.8,19.1,16,13.5,11.5,11,10.6,13.4,17,18,21
8.7344e+05,301,1915,22.3,22.7,18.6,17.5,13.7,6.9,10.5,12.8,13.6,18.3,21.3,23.6
8.7344e+05,301,1916,25.2,21.8,19.8,18.8,14.4,5.3,6.7,11.7,16.4,19.9,23.1,22.8
8.7344e+05,301,1917,26.7,22.6,19.5,16.7,10.2,10.4,8.3,10.9,15.1,17.4,20.4,24.7
8.7344e+05,301,1918,24.1,22.3,20.6,17.8,11.8,8.5,10,12,13.4,16.9,20.3,22.7
8.7344e+05,301,1919,23.9,20.9,20.7,17.8,16.5,8.8,9,10.6,13.2,17.4,19.7,23.2
8.7344e+05,301,1920,23.9,22.3,20.9,18,15.2,8.7,7.2,11,16.1,17.1,20.7,23.3
8.7344e+05,301,1921,23.7,23.4,19.6,17.7,15.6,6.7,7.7,10.8,14.1,17.3,20.1,24.3
8.7344e+05,301,1922,23,21.5,19.8,15.5,13.1,7.3,11.7,9.5,14.4,15.7,21,21.9
8.7344e+05,301,1923,23.1,24.2,22.2,17.4,10.7,11.4,6.7,10.7,14.9,15.8,21.1,21.7
8.7344e+05,301,1924,23.1,23.7,20.9,16.7,12,9.6,8.7,9.9,13.2,17.8,20.3,24.4
8.7344e+05,301,1925,24.4,23.9,23,17.7,12.2,8.2,8,12.8,14.9,16.6,21,23.2
8.7344e+05,301,1926,24.3,23.8,22.6,16.3,11.8,9.7,8.6,11.9,14.6,18.4,20.9,23
8.7344e+05,301,1927,24.3,25,20.9,17.1,12.8,8.8,9.9,12.3,13.9,18,22.3,22.4
8.7344e+05,301,1928,23.4,21.5,20.3,18,12.5,8.6,9.8,10.1,13.4,16.8,21.6,22.7
8.7344e+05,301,1929,24.4,24.2,21.7,20.1,12,8.9,10.8,11.7,16.1,17.9,21.1,24.7
8.7344e+05,301,1930,26.1,24.7,21.9,18.4,13.2,14.1,8.1,9,15.6,15.6,20.5,22.9
8.7344e+05,301,1931,23,22.9,20.5,16.1,8.8,7.8,8,9.9,11.9,18.8,18.9,22.7
8.7344e+05,301,1932,24.9,23.1,22.3,17.4,11.2,10.3,11.6,10.5,15.6,17.3,22.1,23.1
