station=943260 
Lat = 23.8 S 
Lon = 133.88 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
9.4326e+05,501,1932,31.5,26.6,23.5,17.4,14.9,10.4,10,14.3,16.9,22,24.6,28.7
9.4326e+05,501,1933,29,27.8,25.1,19.6,15.6,12.6,10.3,11.3,16.1,22.4,24,25.7
9.4326e+05,501,1934,29.4,27.9,26.1,21,14.5,11.4,10.7,13.5,18.4,21.7,23.6,27.1
9.4326e+05,501,1935,28.8,27.7,24.8,18.3,13.4,10.6,12.5,14.4,18.2,23.2,26.6,28.1
9.4326e+05,501,1936,30.9,28.4,22.7,17.7,14.6,10.9,11.7,17.5,16.4,22.2,26.4,28.6
9.4326e+05,501,1937,26.7,27.7,24.7,17.6,16.4,11.2,8.9,13.5,16.5,23.5,26.2,27.8
9.4326e+05,501,1938,28.2,25.7,25.2,19.5,16,12.6,11.3,11.8,17.1,23.2,27.5,29.3
9.4326e+05,501,1939,30.4,26.1,22.7,19,16,12.4,10,13,15.4,20.2,24.7,27.2
9.4326e+05,501,1940,30.4,25.1,23.8,17.9,12.4,11.2,10,12.8,17.1,25.3,24.4,29
9.4326e+05,501,1941,24.8,26.6,22,20,13.5,10.4,11.6,11.6,18.6,21.3,24.4,27.95
9.4326e+05,501,1942,27.6,27.2,26.05,19.4,17.9,13.6,11.1,16.85,19.75,22.75,24.05,27.5
9.4326e+05,501,1943,28.35,27,26.05,20.65,12.3,9.95,12.35,12.5,17.55,21.65,22.45,26.8
9.4326e+05,501,1944,28.25,23.95,22.8,18.35,14.15,10.05,10,13.25,19.3,21.05,26.1,28.3
9.4326e+05,501,1945,26.9,26.05,22.7,17.7,14.8,13.9,10.4,16.8,18.05,19.45,23,25.95
9.4326e+05,501,1946,28.25,25.1,20.6,15.95,16.35,10.55,12.7,13.5,17.1,19.4,26.45,27.15
9.4326e+05,501,1947,30.25,27.75,25.2,17.95,14.25,13,13.05,12.6,16,21.4,24.15,26.6
9.4326e+05,501,1948,24.85,27.15,21.1,18.2,13.45,10.2,10.95,13.5,16.35,22.4,25.95,28.25
9.4326e+05,501,1949,26.95,24.55,21,16.05,13.65,8.1,10.75,13.25,15.6,23.7,25.75,28.4
9.4326e+05,501,1950,28.85,26.25,21.5,17.7,16.55,11,10.1,11.8,18,20.85,25.3,26.9
9.4326e+05,501,1951,27.45,28.1,26.2,18.5,13.2,13.3,11,11.5,18.6,21.55,26,26.7
9.4326e+05,501,1952,27.95,26.4,23.5,18.95,15.2,11.6,9.55,12.2,17.15,21.35,24.45,28.2
9.4326e+05,501,1953,26.4,23.55,25,21.55,14.25,12.6,10.55,12.65,16.05,22.65,25.85,28.05
9.4326e+05,501,1954,27.35,24.05,24.7,19.25,15.05,11.25,11.75,12.95,16,22.25,24.85,28
9.4326e+05,501,1955,28.05,27.95,22.85,19.15,13.85,13.4,9.4,16.65,18.7,22.9,23.8,26.05
9.4326e+05,501,1956,26.5,28.35,22.1,20.05,14.8,10.15,11.7,10.7,13.9,20.3,23.95,27.8
9.4326e+05,501,1957,29.4,27.15,24.25,22,14.65,15.1,8.4,13.2,16.8,22.75,25.2,26.85
9.4326e+05,501,1958,27.05,26.35,25.15,20,18.35,10.9,13.05,14.1,14.4,21.95,24.5,26.35
9.4326e+05,501,1959,29.05,27.15,24.1,21,13.55,10.8,11.45,13.7,17.45,23.05,25.9,25.95
9.4326e+05,501,1960,28.75,27.8,23.55,19.55,12.7,10.95,12.9,11.7,18.1,20.85,24.3,26.65
9.4326e+05,501,1961,27.8,26.85,24.2,22.85,13.55,11.9,9.05,11.55,18.4,22.25,25,27.2
9.4326e+05,501,1962,28,28.3,23.2,18.15,13.4,13.1,11.25,11.55,15.95,22.6,25.5,27.5
9.4326e+05,501,1963,28.75,28.5,24.85,18.45,15.6,12.4,11.55,13.25,17.45,21.2,24.7,27.7
9.4326e+05,501,1964,27.95,25.95,23.8,20.35,13.45,12.55,12.95,13.55,17.85,20.2,24.5,26.05
9.4326e+05,501,1965,27.4,27.95,24.7,18.25,16.25,11.6,9.35,14.4,18.95,22.5,25.6,28.1
9.4326e+05,501,1966,26.5,26.8,24.05,20.3,12.9,13.4,10.3,9.8,16.6,19.45,24.3,25
9.4326e+05,501,1967,29.25,24.55,20.65,18.8,15.3,10.05,8.8,12.4,16.85,24.5,25.05,27.25
9.4326e+05,501,1968,28.15,28.35,25.65,21.3,12.9,14.15,8.8,11.65,15.75,20.6,24.55,24.85
9.4326e+05,501,1969,29.85,26.05,23.65,18.8,15.2,10.75,11.15,12.4,15.25,22.85,24.45,27.6
9.4326e+05,501,1970,28.8,27.55,23.4,18.95,14.8,13.85,9.45,12.2,15.85,22.45,24.25,26.5
9.4326e+05,501,1971,30.15,27.95,25.75,18.75,15.35,9.5,9.85,14.45,19.6,24.25,25.75,27.55
9.4326e+05,501,1972,27.6,26.45,22.6,17.85,13.3,11.95,10.4,15.35,17.1,22.85,25.3,28.75
9.4326e+05,501,1973,30.15,26.7,25.35,22.1,17.15,13.3,13.95,14.3,16.4,21.05,24.5,26.95
9.4326e+05,501,1974,26.7,24.9,23.95,19.5,15.2,11.2,14.3,14.7,16.8,21,23.4,25.85
9.4326e+05,501,1975,26.35,25.5,23.35,19.1,15.2,11,14.9,13.3,18.8,19.8,24.85,25.85
9.4326e+05,501,1976,23.8,25.1,22.4,17.85,11.65,9.7,10.3,12.25,17.3,20.4,25.85,28
9.4326e+05,501,1977,27.9,27.5,22.95,17.9,15.4,10.4,9.2,15.6,16.6,22.9,25.35,27.1
9.4326e+05,501,1978,28.2,28.35,25.2,18.4,16.35,12.7,10.95,12.3,15.8,20.4,23.3,26.65
9.4326e+05,501,1979,29,26.7,25.5,21.2,14.3,13.4,10.4,15.7,19.3,21.7,27.75,28.9
9.4326e+05,501,1980,29.5,29.4,26.6,22.35,16.7,13.7,11.9,14.85,20.45,23.8,28.1,28.4
9.4326e+05,501,1981,28.7,28.2,23.7,22,15.9,13.9,12.3,16.8,19.3,21.6,25.15,28.1
9.4326e+05,501,1982,30.05,26.5,22.7,18.5,14.75,10.2,10.3,14.6,16.9,20.35,25.7,28.9
9.4326e+05,501,1983,27.3,31.2,25.7,17.75,14.2,11,9.1,14.35,20.1,22.3,26.9,27.7
9.4326e+05,501,1984,25.9,27.3,23.9,20,16.5,10.8,10.1,14.55,16.3,22.1,25.95,28.7
9.4326e+05,501,1985,29.5,29.35,26.15,19.5,14.95,10.4,11.9,16.15,16.6,22.4,26.5,29.7
9.4326e+05,501,1986,28.6,29.7,27.15,19.9,17.8,12.4,11.5,14.1,18.6,22.5,23.95,27.1
9.4326e+05,501,1987,30,27.6,22.9,21.55,14.7,12.3,11.7,12.9,17.75,24.7,29.05,27.8
9.4326e+05,501,1988,30.5,26.5,25.5,19.2,17.1,13.3,11.75,13.4,19.2,25.5,25,27.75
