station=726060 
Lat = 43.65 N 
Lon = 70.32 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
7.2606e+05,425,1835,-4.4,-6,-0.8,4.9,11.7,17.4,20.5,18.9,14.2,10.7,2.8,-6.8
7.2606e+05,425,1836,-6.7,-10,-2.2,2.2,10,13.3,18.9,16.1,13.3,5,0.6,-5
7.2606e+05,425,1837,-10,-7.2,-3.3,3.3,7.8,14.4,17.2,16.1,12.2,6.1,1.1,-4.4
7.2606e+05,425,1838,-2.2,-10,0,2.2,9.4,16.7,20,17.8,13.3,6.1,-1.1,-6.7
7.2606e+05,425,1839,-6.7,-5.6,-1.1,5,9.4,13.3,18.3,17.8,13.9,8.9,1.1,-2.2
7.2606e+05,425,1840,-10.6,-2.2,-1.1,5.6,10.6,16.1,19.4,19.4,13.1,7.5,0.8,-9.8
7.2606e+05,425,1841,-6.4,-9.3,-1,3.6,9.2,16.1,18,17.9,15.2,6.2,2.1,-5.4
7.2606e+05,425,1842,-7.1,-4.8,2.2,5.5,9.1,14.3,19.4,17.2,13,8.5,1.6,-7.8
7.2606e+05,425,1843,-5.3,-9.5,-2.8,4.8,9.8,14.7,17.2,18.6,13.3,7.9,1.1,-5.3
7.2606e+05,425,1844,-13.4,-9.3,-0.6,6.1,10.7,16,17.2,17.1,14.2,8.2,1.9,-6.9
7.2606e+05,425,1845,-8.3,-8.9,-0.6,4.8,11,16.8,18.6,19,13.4,9.2,2.9,-6.7
7.2606e+05,425,1846,-9.8,-12.6,0,6.7,10,15.6,18.9,18.9,19.2,7,3.6,-8.1
7.2606e+05,425,1847,-10.3,-10.3,-2.8,2.8,9.4,15,20.6,17.8,14.2,6.4,3.1,-5.3
7.2606e+05,425,1848,-7.6,-7.6,-1.7,7.2,10.6,15.6,18.9,18.3,12.5,7.5,1.4,-1.1
7.2606e+05,425,1849,-8.3,-9.4,-0.6,3.9,8.9,20.5,20.9,20.8,17.3,11.9,10.4,-3.3
7.2606e+05,425,1850,-4.1,-2.6,-0.1,4.6,9.7,16.8,19.2,18.3,14.7,10.2,4.4,-5.3
7.2606e+05,425,1851,-6.7,-3.7,0.7,5.9,10.9,14.8,19.2,18.4,15.6,10.9,1.7,-6.3
7.2606e+05,425,1852,-7.6,-5,-1.4,3.9,11.1,17.6,20.2,18.2,15.1,9,2.4,0
7.2606e+05,425,1853,-4.9,-3.4,0.8,5.6,12.1,17.3,20.1,18.5,NaN,NaN,NaN,NaN
7.2606e+05,425,1855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9,2.6,-2.8
7.2606e+05,425,1856,-8.9,-7.4,-3.5,6.4,10.8,19.7,22.6,19.3,17.1,10.4,3.1,-5
7.2606e+05,425,1857,-9.9,-1.6,-0.9,4.3,10.8,16.2,19.7,18.6,15.2,9.5,4.3,-1.1
7.2606e+05,425,1858,-2.9,-7.4,-1.3,4.2,10.1,17.4,19.4,18,15.9,9.6,0.7,-5.4
7.2606e+05,425,1859,-6.7,-4.8,0.8,4.4,12.1,15.8,19.5,18.6,13.3,6.6,3.1,-7.1
