station=471590 
Lat = 35.1 N 
Lon = 129.03 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
4.7159e+05,221,1904,NaN,NaN,NaN,12,15.55,20.4,23.4,25.5,22,16.6,9.5,5.3
4.7159e+05,221,1905,5.95,2.6,7.15,10.75,16.35,19.25,23.7,22.7,22.15,17,10.85,7.5
4.7159e+05,221,1906,1.8,1.65,6.6,11.85,15.8,18.7,22.7,24.65,21.1,15.8,8.9,3.4
4.7159e+05,221,1907,4.4,1.45,6.65,11.5,15.8,18.45,22.4,26.15,21.8,17.3,10.15,3
4.7159e+05,221,1908,3.2,1.7,6.6,11.4,15.8,19.4,21.65,25.1,21.65,16.65,8.6,4.95
4.7159e+05,221,1909,2.85,1.95,5.7,11.65,15.65,19,23.9,25.85,23,15.9,10.25,3.25
4.7159e+05,221,1910,3.45,1.25,5.95,11.25,16,19,22.1,24.75,20.6,16.9,9.9,1.3
4.7159e+05,221,1911,1.7,3.8,7.35,11.3,15.35,19.15,22.65,25.05,22.75,15.5,11.05,2.55
4.7159e+05,221,1912,1.3,5.6,7.8,12.4,15.15,19.2,23.05,25.7,21.6,15.95,7.45,4.1
4.7159e+05,221,1913,1.35,2.35,6.05,12.3,15.3,19.2,22.05,23.85,21.25,16.35,10,3.5
4.7159e+05,221,1914,3.5,4.25,8.05,11.35,16.6,19.9,25.8,25.3,22.6,16.95,11.05,4.85
4.7159e+05,221,1915,2.1,3.55,5.3,11.55,15.45,19.85,23.85,25.75,21.55,18.05,12,6.4
4.7159e+05,221,1916,4.65,3.65,4.7,11.75,16,20.15,22.8,26,22.85,16.7,11.8,5.65
4.7159e+05,221,1917,-1.4,1.95,5.5,11.65,14.75,18.7,24.2,25.4,22.6,17.1,8.05,1
4.7159e+05,221,1918,-0.7,3.85,7.45,11.2,15.05,19.3,22.3,24.1,20.85,16.35,9.45,4.75
4.7159e+05,221,1919,1.4,3.9,8.45,13,15.85,20,23.55,25.15,21.75,16.05,10.7,3.25
4.7159e+05,221,1920,1.4,2.4,7.1,12.6,14.9,19.45,24.85,25.3,23.05,17.75,12.55,4.9
4.7159e+05,221,1921,2.75,3.8,6.25,12.2,15.7,18.2,23.25,25.8,21.6,15.95,8.85,4.3
