station=727930 
Lat = 47.6 N 
Lon = 122.33 W 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
7.2793e+05,425,1894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7,10.3,7.1,1.9
7.2793e+05,425,1895,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.2793e+05,425,1899,4.1,4.2,5.4,8.4,9.9,12.6,17.2,16.3,17.1,12.8,9.6,5.5
7.2793e+05,425,1900,8.1,7.7,8,9.1,11.3,14,15.9,14.5,13.5,9.5,5.5,6.4
7.2793e+05,425,1901,3.1,5.1,5.9,7.8,11.6,10.5,12.3,14.3,10.7,10,8.3,4.8
7.2793e+05,425,1902,2.9,6.8,5.3,7.3,11.5,13.6,15.5,15.6,13.6,11.2,6.4,4.8
7.2793e+05,425,1903,3.9,2.3,4.7,6.7,11.5,15.6,14.2,15.9,13.8,10.5,6.4,4.6
7.2793e+05,425,1904,4.1,3.3,4.7,9.3,10.7,13,17,15.8,14.5,11.4,9,5.1
7.2793e+05,425,1905,3,4.7,8.1,8.5,11.2,14.3,16.8,16.5,14.9,7.2,5.5,4.4
7.2793e+05,425,1906,3.8,5.9,5.6,10.6,11.1,12.9,19.5,15.8,14.8,10.8,5.6,4.2
7.2793e+05,425,1907,-1.8,4.9,3.8,7.5,12.9,13.6,17.1,15.2,14.7,11.1,7.1,5.2
7.2793e+05,425,1908,3.8,3.8,4.7,8.4,10,13,18.2,15.5,13.3,9.2,7.5,2
7.2793e+05,425,1909,-0.65,4.35,6,8.2,11.1,14.95,15.467,15.4,15.1,10.3,6.0333,0.53333
7.2793e+05,425,1910,1.3667,1.2,7.1333,8.8333,13.533,13.933,17.167,15.133,13.8,10.433,5.6,4.4
7.2793e+05,425,1911,1.2333,2.0667,6.4333,7.5,10.933,13.3,18,16.1,13.1,10.5,5.6333,3.7667
7.2793e+05,425,1912,3.4,5.5,5.7,8.5333,13.7,15.667,17.533,16.533,14.3,9.3667,7.0333,3.9667
7.2793e+05,425,1913,1.6,3.6,5.05,9.5,12.25,15.75,17.3,18.15,15.15,9.95,7.65,5.35
7.2793e+05,425,1914,4.55,4.625,8.05,10.45,13.825,14.725,17.425,16.6,13.075,12.425,7.425,2.075
7.2793e+05,425,1915,2.975,6.05,9.4,11.55,12.85,15.225,17.225,18,13.95,11.05,5.05,4.35
7.2793e+05,425,1916,-2.3,3.975,5.675,9.125,10.65,14.475,15.75,16.775,14.05,8.725,5.175,1.675
7.2793e+05,425,1917,1.875,3.075,4.225,7.4,11.3,13.35,17,17.55,14.525,10.75,9.025,5.15
7.2793e+05,425,1918,4.5,2.275,5.7,9.125,10.975,16.025,17.325,16.85,16.2,11.533,6.825,4
7.2793e+05,425,1919,4.025,3.975,6.375,9.95,12.15,13.9,16.875,17.05,14.8,8.9,5.6,2.025
7.2793e+05,425,1920,3.3,3.8,6.5,7.675,11.475,14.575,17.5,17.9,13.9,9.925,6.5,4.975
7.2793e+05,425,1921,3.725,4.9,6.175,8.1,11.675,15.175,15.85,16.65,13.25,10.925,6.5,2.9
7.2793e+05,425,1922,0.65,2.325,4.525,7.55,11.9,15.675,16.55,16.5,15,11.025,5.35,2.05
7.2793e+05,425,1923,3.7,1.825,5.5,9.975,11.625,14.775,17.325,17.675,14.875,11.2,7.825,4.175
7.2793e+05,425,1924,2.9,6.8,5.575,8.4,13.225,14.725,16.775,16.075,14.3,10.575,5.925,1.425
7.2793e+05,425,1925,4.05,5.925,6.075,9.725,13.3,14.675,17.6,16.175,14.4,9.35,6.2,6.6
7.2793e+05,425,1926,3.65,6.35,8.725,11.975,12.7,16.075,17.75,16.975,13.075,11.525,8.35,3.375
7.2793e+05,425,1927,2.875,4.75,5.5,8.075,10.25,15.05,17.3,17.75,14,10.825,6.925,1.625
7.2793e+05,425,1928,4.25,4.575,8.05,8.625,13.625,14.525,17.725,16.5,13.875,10.175,7.125,3.325
7.2793e+05,425,1929,-0.2,0.25,6.35,7.45,11.75,14.275,16.875,17.15,14.825,12.25,6,4.95
7.2793e+05,425,1930,-1.7,5.475,7.125,10.775,11.225,14.275,16.5,17.675,14.3,9.6,6.2,4.625
